ms_zoning,lot_area,condition_1,overall_qual,overall_cond,year_built,year_remod/add,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_unf_sf,total_bsmt_sf,central_air,1st_flr_sf,gr_liv_area,full_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,fireplaces,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,yr_sold,age,quality,remod,bsmt_rating,bsmt_sf,saleprice
1,13517,6,6,8,1976,2005,4,3,3,3,192.0,725.0,1,725,1479,2,3,1,4,0,2.0,475.0,3,3,1,2010,34,576,5,9,533.0,130500
1,11492,1,7,5,1996,1997,4,3,4,3,276.0,913.0,1,913,2122,2,4,1,4,1,2.0,559.0,3,3,1,2009,13,420,12,12,637.0,220000
1,7922,1,5,7,1953,2007,3,4,3,3,326.0,1057.0,1,1057,1057,1,3,1,4,0,1.0,246.0,3,3,1,2010,57,420,3,9,731.0,109000
1,9802,1,5,5,2006,2007,3,3,4,3,384.0,384.0,1,744,1444,2,3,1,3,0,2.0,400.0,3,3,1,2010,4,225,3,12,0.0,174000
1,14235,1,6,8,1900,1993,3,3,2,4,676.0,676.0,1,831,1445,2,3,1,3,0,2.0,484.0,3,3,0,2010,110,432,17,8,0.0,138500
1,16492,7,6,6,1966,2002,4,3,3,3,557.0,1517.0,1,1888,1888,2,2,1,4,1,2.0,578.0,3,3,1,2010,44,432,8,9,960.0,190000
2,3675,1,6,5,2005,2006,3,3,4,3,0.0,547.0,1,1072,1072,2,2,1,3,0,2.0,525.0,3,3,1,2006,1,270,0,12,547.0,140000
1,12160,1,5,5,1959,1959,3,3,3,3,188.0,1188.0,1,1188,1188,1,3,1,3,0,2.0,531.0,3,3,1,2010,51,225,51,9,1000.0,142000
1,15783,3,5,5,1952,1952,3,3,3,3,632.0,924.0,1,924,924,1,2,1,3,0,1.0,420.0,3,3,1,2007,55,225,55,9,292.0,112500
1,11606,1,5,5,1969,1969,3,3,4,3,390.0,1040.0,1,1040,2080,1,5,1,2,2,2.0,504.0,3,3,1,2007,38,225,38,12,650.0,135000
2,1680,1,6,5,1971,1971,3,3,3,3,96.0,483.0,1,483,987,1,2,1,3,0,1.0,264.0,3,3,1,2008,37,270,37,9,387.0,85400
1,7488,1,7,5,2005,2005,4,3,4,3,815.0,1208.0,1,1208,1208,2,2,1,4,0,2.0,632.0,3,3,1,2006,1,420,1,12,393.0,183600
3,2645,1,8,5,1999,2000,4,3,4,3,147.0,960.0,1,962,1607,2,3,1,4,0,2.0,480.0,3,3,1,2008,9,480,8,12,813.0,200000
1,9627,1,7,5,2007,2007,4,3,4,3,1327.0,1351.0,1,1361,1361,2,3,1,4,0,2.0,610.0,3,3,1,2008,1,420,1,12,24.0,193000
1,10114,1,5,5,2004,2005,3,3,5,3,1430.0,1430.0,1,1430,1430,2,3,1,4,0,2.0,624.0,3,3,1,2010,6,225,5,15,0.0,173500
2,4571,1,5,5,1916,1950,3,3,3,3,624.0,624.0,0,624,1344,1,4,1,3,0,3.0,513.0,2,2,1,2008,92,225,58,9,0.0,98000
1,8816,2,5,6,1963,1963,3,3,3,3,470.0,1121.0,1,1121,1121,1,3,1,3,0,2.0,480.0,3,3,1,2009,46,270,46,9,651.0,139000
1,8197,1,6,5,1977,1977,3,3,3,3,660.0,660.0,1,1285,1285,1,3,1,3,1,2.0,528.0,3,3,1,2007,30,270,30,9,0.0,143500
3,8640,1,7,5,2009,2009,3,3,4,3,732.0,756.0,1,764,1547,2,3,1,4,0,2.0,614.0,3,3,1,2010,1,315,1,12,24.0,215200
1,8724,1,5,5,1968,1968,3,3,4,3,402.0,894.0,1,894,894,1,3,1,3,1,2.0,450.0,3,3,1,2007,39,225,39,12,492.0,129000
1,5664,1,8,5,2000,2000,4,3,4,3,343.0,1501.0,1,1659,1659,2,2,1,5,1,2.0,499.0,3,3,1,2009,9,480,9,12,1158.0,278000
1,12867,1,8,5,2005,2006,4,3,5,3,1209.0,1209.0,1,1209,2253,2,3,1,5,1,2.0,575.0,3,3,1,2006,1,480,0,15,0.0,344133
1,7980,1,6,7,1992,2007,3,4,4,3,233.0,1168.0,1,1187,1187,2,3,1,3,0,2.0,420.0,3,3,1,2010,18,504,3,12,935.0,185000
1,34650,1,5,5,1955,1955,3,3,3,3,0.0,1056.0,0,1056,1056,1,3,1,3,0,2.0,572.0,3,3,1,2006,51,225,51,9,1056.0,145000
1,10573,1,6,6,1961,1961,3,3,3,3,141.0,1453.0,1,1453,1453,2,3,1,3,1,2.0,530.0,3,3,1,2009,48,324,48,9,1312.0,187500
1,8450,6,5,8,1965,2009,3,4,3,3,224.0,894.0,1,894,894,1,3,1,3,1,1.0,336.0,3,3,1,2010,45,480,1,9,670.0,138500
1,11700,1,5,6,1937,1995,3,3,3,3,336.0,942.0,1,1265,1938,2,4,1,4,1,1.0,240.0,3,3,1,2008,71,270,13,9,606.0,198000
1,8064,3,5,7,1949,2006,3,4,3,3,672.0,672.0,1,672,924,1,3,1,3,1,2.0,576.0,3,3,1,2007,58,420,1,9,0.0,122900
1,9600,5,8,5,1981,1981,4,3,4,3,1420.0,2524.0,1,2524,2524,2,4,1,4,1,2.0,542.0,3,3,1,2009,28,480,28,12,1104.0,278000
1,11435,1,8,7,1929,1950,3,3,4,3,792.0,792.0,1,792,1517,1,3,1,4,2,2.0,400.0,3,3,1,2006,77,504,56,12,0.0,230000
1,9549,1,8,5,1995,1996,4,4,4,4,0.0,1494.0,1,1494,1494,1,2,1,5,1,2.0,481.0,3,3,1,2006,11,640,10,16,1494.0,270000
1,10950,1,6,6,1952,1952,3,3,3,3,507.0,948.0,1,948,948,1,2,1,3,0,2.0,410.0,3,3,0,2007,55,324,55,9,441.0,125000
1,10637,1,8,5,2007,2008,4,3,5,3,417.0,1705.0,1,1718,1718,2,3,1,4,1,3.0,826.0,3,3,1,2009,2,480,1,15,1288.0,297000
1,9000,1,6,6,1958,1958,3,3,4,3,160.0,160.0,1,1142,1142,1,2,1,3,1,1.0,384.0,3,3,1,2009,51,324,51,12,0.0,113500
2,2665,1,5,6,1977,1977,3,3,3,3,36.0,757.0,1,925,1475,2,4,1,3,1,1.0,336.0,3,3,1,2006,29,270,29,9,721.0,127000
1,11751,1,6,6,1977,1977,3,3,4,3,1139.0,1844.0,1,1844,1844,2,3,1,3,1,2.0,546.0,3,3,1,2010,33,324,33,12,705.0,190000
1,9600,1,7,6,1973,1973,3,3,3,3,326.0,1242.0,1,1242,1242,1,3,1,3,1,2.0,528.0,3,3,1,2007,34,378,34,9,916.0,175500
1,8428,1,5,7,1994,1994,3,4,4,4,570.0,990.0,1,990,990,1,3,1,3,0,1.0,384.0,3,3,1,2007,13,420,13,16,420.0,146000
1,9937,1,5,6,1965,1965,4,3,3,3,136.0,1256.0,1,1256,1256,1,3,1,3,0,1.0,276.0,3,3,1,2008,43,360,43,9,1120.0,147500
1,13891,1,10,5,2006,2006,5,3,5,4,690.0,2076.0,1,2076,2076,2,2,1,5,1,3.0,850.0,3,3,1,2006,0,750,0,20,1386.0,465000
1,9101,1,5,6,1978,1978,3,4,4,3,0.0,1097.0,1,1110,1110,1,1,1,4,1,2.0,602.0,3,3,1,2009,31,360,31,12,1097.0,165500
2,12150,1,5,5,1954,1954,3,3,3,3,1050.0,1050.0,0,1050,1795,2,4,1,3,0,1.0,352.0,2,3,1,2008,54,225,54,9,0.0,131500
1,11200,1,5,5,1965,1965,3,3,3,3,134.0,1040.0,1,1040,1040,1,3,1,3,0,1.0,384.0,3,3,1,2008,43,225,43,9,906.0,129500
1,9670,1,8,6,1935,1950,3,3,3,2,398.0,608.0,1,983,1873,1,4,1,3,2,2.0,786.0,2,3,1,2008,73,432,58,6,210.0,257076
1,10998,1,5,5,1941,1960,3,3,3,3,156.0,984.0,1,984,1604,2,3,1,3,0,2.0,660.0,3,3,1,2009,68,225,49,9,828.0,117000
1,7200,1,7,6,1931,2000,3,2,4,3,776.0,776.0,1,851,1502,1,3,1,3,1,1.0,270.0,3,3,2,2008,77,252,8,12,0.0,149000
1,9920,1,5,5,1954,1954,3,3,3,3,412.0,1056.0,1,1063,1063,1,3,1,3,0,1.0,280.0,3,3,1,2010,56,225,56,9,644.0,128000
1,2448,1,7,5,2003,2004,4,3,4,3,764.0,764.0,1,764,1626,2,2,1,4,0,2.0,474.0,3,3,1,2008,5,420,4,12,0.0,155000
3,2998,1,6,5,2000,2000,4,3,4,3,403.0,756.0,1,768,1524,2,2,1,4,0,2.0,440.0,3,3,1,2006,6,360,6,12,353.0,166000
1,7804,1,4,3,1928,1950,3,3,3,3,500.0,1122.0,1,1328,1981,2,4,1,4,2,2.0,576.0,3,3,1,2009,81,108,59,9,622.0,135000
1,16692,4,7,5,1978,1978,3,3,4,3,133.0,1392.0,1,1392,2784,3,5,1,4,2,2.0,564.0,3,3,1,2006,28,315,28,12,1259.0,250000
1,10170,1,6,6,1951,1951,3,3,3,3,216.0,216.0,1,1575,1575,1,2,1,4,1,2.0,400.0,3,3,1,2006,55,324,55,9,0.0,155000
1,9364,1,6,7,1969,1969,3,3,3,3,292.0,663.0,1,663,1352,1,4,1,3,0,1.0,299.0,3,3,1,2010,41,378,41,9,371.0,158000
3,2544,1,7,5,2004,2005,4,3,4,3,190.0,600.0,1,600,1200,2,2,1,4,0,2.0,480.0,3,3,1,2010,6,420,5,12,410.0,149500
1,9888,1,5,6,1954,1975,3,4,3,3,450.0,936.0,1,936,936,1,2,1,3,0,1.0,240.0,3,3,1,2006,52,360,31,9,486.0,121000
1,7942,1,6,7,1953,1953,3,3,3,3,0.0,1040.0,1,1040,1040,1,3,1,3,0,1.0,293.0,3,3,1,2007,54,378,54,9,1040.0,136000
1,15038,1,6,5,1996,1996,3,3,4,3,778.0,916.0,1,916,1636,2,3,1,3,1,2.0,386.0,3,3,1,2008,12,270,12,12,138.0,173000
1,11764,1,8,7,1999,2007,4,3,4,3,628.0,1152.0,1,1164,2270,2,4,1,4,1,3.0,671.0,3,3,1,2010,11,672,3,12,524.0,290000
3,9000,1,8,5,2007,2007,4,3,4,3,1120.0,1184.0,1,1184,2610,2,4,1,5,1,2.0,550.0,3,3,1,2007,0,480,0,12,64.0,303477
